Porifera			
			
		Ascomorpha	ecaudis
		Ascomorpha	ovalis
		Ascomorpha	saltans
	Synchaetidae		
		Synchaeta	
		Synchaeta	baltica
		Synchaeta	bicornis
		Synchaeta	calva
		Synchaeta	cecilia
		Synchaeta	grandis
		Synchaeta	grimpei
		Synchaeta	gyrina
		Synchaeta	litoralis
		Synchaeta	longipes
		Synchaeta	oblonga
		Synchaeta	pectinata
		Synchaeta	stylata
		Synchaeta	tavina
		Synchaeta	tremula
		Synchaeta	triophthalma
		Synchaeta	vorax
		Polyarthra	
		Polyarthra	dolichoptera
		Polyarthra	euryptera
		Polyarthra	major
		Polyarthra	minor
		Polyarthra	remata
		Polyarthra	vulgaris
		Ploesoma	
		Ploesoma (Bipalpus)	
		Ploesoma (Bipalpus)	hudsoni
		Ploesoma (Ploesoma)	
		Ploesoma (Ploesoma)	lenticulare
		Ploesoma (Ploesoma)	triacanthum
		Ploesoma (Ploesoma)	truncatum
	Asplanchnidae		
		Harringia	
		Harringia	eupoda
		Asplanchnopus	
		Asplanchnopus	multiceps
		Asplanchna	
		Asplanchna (Asplanchna)	
		Asplanchna (Asplanchna)	herricki
		Asplanchna (Asplanchna)	priodonta
		Asplanchna (Asplanchnella)	
		Asplanchna (Asplanchnella)	brightwelli
		Asplanchna (Asplanchnella)	girodi
		Asplanchna (Asplanchnella)	intermedia
		Asplanchna (Asplanchnella)	sieboldi
	Dicranophoridae		
		Dicranophorus	
		Dicranophorus	aquilus
		Dicranophorus	aspondus
		Dicranophorus	caudatus
		Dicranophorus	forcipatus
		Dicranophorus	grandis
		Dicranophorus	hercules
		Dicranophorus	lutkeni
		Dicranophorus	permollis
		Dicranophorus	rosa
		Dicranophorus	rostratus
		Dicranophorus	uncinatus
		Aspelta	
		Aspelta	circinator
		Aspelta	clydona
		Paradicranophorus	
		Paradicranophorus	hudsoni
		Wierzejskiella	
		Wierzejskiella	elongata
		Wierzejskiella	ricciae
		Encentrum	
		Encentrum (Encentrum)	
		Encentrum (Encentrum)	felis
		Encentrum (Encentrum)	grande
		Encentrum (Encentrum)	marinum
		Encentrum (Encentrum)	mustela
		Encentrum (Encentrum)	rousseleti
		Encentrum (Encentrum)	voigti
		Encentrum (Parencentrum)	
		Encentrum (Parencentrum)	plicatum
		Encentrum (Parencentrum)	saundersiae
		Erignatha	
		Erignatha	clastopis
		Albertia	
		Albertia	naidis
	Microcodinidae		
		Microcodon	
		Microcodon	clavus
Acanthocephala			
			
Ectoprocta			
			
	Phylactolaemata		
	Fredericellidae		
		Fredericella	
		Fredericella	sultana
	Plumatellidae		
		Hyalinella	
		Hyalinella	punctata
		Plumatella	
		Plumatella	coralloides
		Plumatella	emarginata
		Plumatella	fruticosa
		Plumatella	fungosa
		Plumatella	repens
	Lophopodidae		
		Lophopus	
		Lophopus	crystallinus
	Cristatellidae		
		Cristatella	
		Cristatella	mucedo
	Gymnolaemata		
	Paludicellidae		
		Paludicella	
		Paludicella	articulata
	Noellidae		
		Victorella	
		Victorella	pavida
Endoprocta			
			
Gastropoda			
			
	Prosobranchia		
	Neritidae		
		Theodoxus	
		Theodoxus	fluviatilis
	Viviparidae		
		Viviparus	
		Viviparus	contectus
		Viviparus	viviparus
	Valvatidae		
		Valvata	
		Valvata (Valvata)	
		Valvata (Valvata)	cristata
		Valvata (Tropidina)	
		Valvata (Tropidina)	macrostoma
		Valvata (Cincinna)	
		Valvata (Cincinna)	piscinalis
	Hydrobiidae		
		Hydrobia	
		Hydrobia (Hydrobia)	
		Hydrobia (Hydrobia)	acuta
		Potamopyrgus	
		Potamopyrgus	antipodarum
		Marstoniopsis	
		Marstoniopsis	insubrica
		Mercuria	
		Mercuria	anatina
		Heleobia	
		Heleobia	stagnorum
		Peringia	
		Peringia	ulvae
		Ventrosia	
		Ventrosia	ventrosa
		Hydrobia	group
	Bithyniidae		
		Bithynia	
		Bithynia (Bithynia)	
		Bithynia (Bithynia)	tentaculata
		Bithynia (Codiella)	
		Bithynia (Codiella)	leachii
	Assimineidae		
		Assiminea	
		Assiminea	grayana
	Hydrobiidae (including Bithyniidae)		
	Aquatic pulmonata		
	Physidae		
		Aplexa	
		Aplexa	hypnorum
		Physa	
		Physa	fontinalis
		Physella	
		Physella (Physella)	
		Physella (Physella)	gyrina
		Physella (Costatella)	
		Physella (Costatella)	acuta
		Physa	group
	Lymnaeidae		
		Lymnaea	
		Lymnaea	stagnalis
		Myxas	
		Myxas	glutinosa
		Galba	
		Galba	truncatula
		Stagnicola	
		Stagnicola	palustris
		Stagnicola	fuscus
		Stagnicola	catascopium
		Omphiscola	
		Omphiscola	glabra
		Radix	
		Radix	auricularia
		Radix	balthica
		Lymnaea	group
	Planorbidae		
		Planorbis	
		Planorbis (Planorbis)	
		Planorbis (Planorbis)	carinatus
		Planorbis (Planorbis)	planorbis
		Anisus	
		Anisus (Anisus)	
		Anisus (Anisus)	leucostoma
		Anisus (Anisus)	spirorbis
		Anisus (Disculifer)	
		Anisus (Disculifer)	vortex
		Anisus (Disculifer)	vorticulus
		Bathyomphalus	
		Bathyomphalus	contortus
		Gyraulus	
		Gyraulus (Gyraulus)	
		Gyraulus (Gyraulus)	acronicus
		Gyraulus (Gyraulus)	albus
		Gyraulus (Torquis)	
		Gyraulus (Torquis)	laevis
		Gyraulus (Armiger)	
		Gyraulus (Armiger)	crista
		Hippeutis	
		Hippeutis	complanatus
		Segmentina	
		Segmentina	nitida
		Planorbarius	
		Planorbarius	corneus
		Menetus	
		Menetus (Dilatata)	
